District_x,Area Type,Total Population,Male Population,Female Population,Area (sq km),Population Density,State,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,OTHER RAPE,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,Literacy,Estimated Unemployment Rate (%),lat,lng
udaipur,Total,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2001,67,101,43,43,118,43,990,9,68,2,61.82,13.66,24.5833,73.6833
udaipur,Total,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2002,65,79,39,39,75,37,1589,12,71,0,61.82,13.66,24.5833,73.6833
udaipur,Total,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2003,61,77,35,35,72,19,1706,5,65,2,61.82,13.66,24.5833,73.6833
udaipur,Total,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2004,59,76,57,57,115,19,1754,14,102,2,61.82,13.66,24.5833,73.6833
udaipur,Total,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2005,61,75,45,45,88,17,1482,11,101,1,61.82,13.66,24.5833,73.6833
udaipur,Total,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2006,55,71,74,74,98,23,1379,7,99,1,61.82,13.66,24.5833,73.6833
udaipur,Total,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2007,84,85,94,94,108,27,1297,10,189,2,61.82,13.66,24.5833,73.6833
udaipur,Total,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2008,65,77,91,91,148,26,1251,11,159,0,61.82,13.66,24.5833,73.6833
udaipur,Total,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2009,72,71,109,109,156,24,1613,15,159,4,61.82,13.66,24.5833,73.6833
udaipur,Total,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2010,77,107,111,111,151,35,1844,14,192,6,61.82,13.66,24.5833,73.6833
udaipur,Total,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2011,83,90,110,110,162,36,1738,14,150,0,61.82,13.66,24.5833,73.6833
udaipur,Total,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2012,76,80,149,149,163,27,1518,9,174,0,61.82,13.66,24.5833,73.6833
udaipur,Rural,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2001,67,101,43,43,118,43,990,9,68,2,61.82,13.66,24.5833,73.6833
udaipur,Rural,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2002,65,79,39,39,75,37,1589,12,71,0,61.82,13.66,24.5833,73.6833
udaipur,Rural,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2003,61,77,35,35,72,19,1706,5,65,2,61.82,13.66,24.5833,73.6833
udaipur,Rural,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2004,59,76,57,57,115,19,1754,14,102,2,61.82,13.66,24.5833,73.6833
udaipur,Rural,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2005,61,75,45,45,88,17,1482,11,101,1,61.82,13.66,24.5833,73.6833
udaipur,Rural,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2006,55,71,74,74,98,23,1379,7,99,1,61.82,13.66,24.5833,73.6833
udaipur,Rural,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2007,84,85,94,94,108,27,1297,10,189,2,61.82,13.66,24.5833,73.6833
udaipur,Rural,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2008,65,77,91,91,148,26,1251,11,159,0,61.82,13.66,24.5833,73.6833
udaipur,Rural,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2009,72,71,109,109,156,24,1613,15,159,4,61.82,13.66,24.5833,73.6833
udaipur,Rural,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2010,77,107,111,111,151,35,1844,14,192,6,61.82,13.66,24.5833,73.6833
udaipur,Rural,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2011,83,90,110,110,162,36,1738,14,150,0,61.82,13.66,24.5833,73.6833
udaipur,Rural,8889.0,4482.0,4407.0,1798.54,5.0,rajasthan,2012,76,80,149,149,163,27,1518,9,174,0,61.82,13.66,24.5833,73.6833
udaipur,Urban,0.0,0.0,0.0,0.0,0.0,rajasthan,2001,67,101,43,43,118,43,990,9,68,2,61.82,13.66,24.5833,73.6833
udaipur,Urban,0.0,0.0,0.0,0.0,0.0,rajasthan,2002,65,79,39,39,75,37,1589,12,71,0,61.82,13.66,24.5833,73.6833
udaipur,Urban,0.0,0.0,0.0,0.0,0.0,rajasthan,2003,61,77,35,35,72,19,1706,5,65,2,61.82,13.66,24.5833,73.6833
udaipur,Urban,0.0,0.0,0.0,0.0,0.0,rajasthan,2004,59,76,57,57,115,19,1754,14,102,2,61.82,13.66,24.5833,73.6833
udaipur,Urban,0.0,0.0,0.0,0.0,0.0,rajasthan,2005,61,75,45,45,88,17,1482,11,101,1,61.82,13.66,24.5833,73.6833
udaipur,Urban,0.0,0.0,0.0,0.0,0.0,rajasthan,2006,55,71,74,74,98,23,1379,7,99,1,61.82,13.66,24.5833,73.6833
udaipur,Urban,0.0,0.0,0.0,0.0,0.0,rajasthan,2007,84,85,94,94,108,27,1297,10,189,2,61.82,13.66,24.5833,73.6833
udaipur,Urban,0.0,0.0,0.0,0.0,0.0,rajasthan,2008,65,77,91,91,148,26,1251,11,159,0,61.82,13.66,24.5833,73.6833
udaipur,Urban,0.0,0.0,0.0,0.0,0.0,rajasthan,2009,72,71,109,109,156,24,1613,15,159,4,61.82,13.66,24.5833,73.6833
udaipur,Urban,0.0,0.0,0.0,0.0,0.0,rajasthan,2010,77,107,111,111,151,35,1844,14,192,6,61.82,13.66,24.5833,73.6833
udaipur,Urban,0.0,0.0,0.0,0.0,0.0,rajasthan,2011,83,90,110,110,162,36,1738,14,150,0,61.82,13.66,24.5833,73.6833
udaipur,Urban,0.0,0.0,0.0,0.0,0.0,rajasthan,2012,76,80,149,149,163,27,1518,9,174,0,61.82,13.66,24.5833,73.6833
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,chhattisgarh,2001,99,42,69,69,20,0,617,7,180,10,70.78,8.265,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,himachal pradesh,2001,8,10,5,5,9,1,74,1,35,1,84.59,18.355,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,chhattisgarh,2002,56,43,72,72,15,0,480,13,160,10,70.78,8.265,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,himachal pradesh,2002,11,15,9,9,3,5,74,0,36,1,84.59,18.355,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,chhattisgarh,2003,95,55,49,49,12,0,480,18,165,3,70.78,8.265,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,himachal pradesh,2003,8,5,13,13,11,1,59,0,20,2,84.59,18.355,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,chhattisgarh,2004,83,53,61,61,21,0,288,9,179,8,70.78,8.265,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,himachal pradesh,2004,9,11,10,10,5,3,66,0,28,0,84.59,18.355,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,chhattisgarh,2005,94,54,77,77,36,0,368,18,154,19,70.78,8.265,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,himachal pradesh,2005,13,7,8,8,6,3,58,0,30,0,84.59,18.355,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,chhattisgarh,2006,95,62,68,68,27,0,1301,23,192,13,70.78,8.265,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,himachal pradesh,2006,6,9,11,11,2,2,46,0,27,3,84.59,18.355,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,chhattisgarh,2007,93,43,61,61,22,0,1421,26,179,8,70.78,8.265,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,himachal pradesh,2007,1,4,6,6,9,2,57,0,33,1,84.59,18.355,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,chhattisgarh,2008,112,48,71,71,25,8,1741,19,171,4,70.78,8.265,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,himachal pradesh,2008,5,2,10,10,7,0,36,2,28,5,84.59,18.355,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,chhattisgarh,2009,96,52,59,59,32,13,1741,30,175,17,70.78,8.265,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,himachal pradesh,2009,8,6,14,14,5,1,45,1,28,4,84.59,18.355,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,chhattisgarh,2010,106,49,69,69,26,12,1923,20,167,18,70.78,8.265,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,himachal pradesh,2010,9,10,15,15,6,2,46,0,37,6,84.59,18.355,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,chhattisgarh,2011,112,43,70,70,16,8,1874,17,146,4,70.78,8.265,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,himachal pradesh,2011,8,2,8,8,3,0,56,0,18,9,84.59,18.355,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,chhattisgarh,2012,74,42,47,47,28,5,1612,10,169,11,70.78,8.265,22.15,82.0167
bilaspur,Total,381956.0,192764.0,189192.0,1167.0,327.0,himachal pradesh,2012,8,8,12,12,5,2,36,0,21,12,84.59,18.355,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,chhattisgarh,2001,99,42,69,69,20,0,617,7,180,10,70.78,8.265,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,himachal pradesh,2001,8,10,5,5,9,1,74,1,35,1,84.59,18.355,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,chhattisgarh,2002,56,43,72,72,15,0,480,13,160,10,70.78,8.265,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,himachal pradesh,2002,11,15,9,9,3,5,74,0,36,1,84.59,18.355,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,chhattisgarh,2003,95,55,49,49,12,0,480,18,165,3,70.78,8.265,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,himachal pradesh,2003,8,5,13,13,11,1,59,0,20,2,84.59,18.355,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,chhattisgarh,2004,83,53,61,61,21,0,288,9,179,8,70.78,8.265,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,himachal pradesh,2004,9,11,10,10,5,3,66,0,28,0,84.59,18.355,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,chhattisgarh,2005,94,54,77,77,36,0,368,18,154,19,70.78,8.265,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,himachal pradesh,2005,13,7,8,8,6,3,58,0,30,0,84.59,18.355,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,chhattisgarh,2006,95,62,68,68,27,0,1301,23,192,13,70.78,8.265,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,himachal pradesh,2006,6,9,11,11,2,2,46,0,27,3,84.59,18.355,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,chhattisgarh,2007,93,43,61,61,22,0,1421,26,179,8,70.78,8.265,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,himachal pradesh,2007,1,4,6,6,9,2,57,0,33,1,84.59,18.355,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,chhattisgarh,2008,112,48,71,71,25,8,1741,19,171,4,70.78,8.265,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,himachal pradesh,2008,5,2,10,10,7,0,36,2,28,5,84.59,18.355,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,chhattisgarh,2009,96,52,59,59,32,13,1741,30,175,17,70.78,8.265,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,himachal pradesh,2009,8,6,14,14,5,1,45,1,28,4,84.59,18.355,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,chhattisgarh,2010,106,49,69,69,26,12,1923,20,167,18,70.78,8.265,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,himachal pradesh,2010,9,10,15,15,6,2,46,0,37,6,84.59,18.355,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,chhattisgarh,2011,112,43,70,70,16,8,1874,17,146,4,70.78,8.265,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,himachal pradesh,2011,8,2,8,8,3,0,56,0,18,9,84.59,18.355,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,chhattisgarh,2012,74,42,47,47,28,5,1612,10,169,11,70.78,8.265,22.15,82.0167
bilaspur,Rural,356827.0,179653.0,177174.0,1149.47,310.0,himachal pradesh,2012,8,8,12,12,5,2,36,0,21,12,84.59,18.355,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,chhattisgarh,2001,99,42,69,69,20,0,617,7,180,10,70.78,8.265,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,himachal pradesh,2001,8,10,5,5,9,1,74,1,35,1,84.59,18.355,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,chhattisgarh,2002,56,43,72,72,15,0,480,13,160,10,70.78,8.265,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,himachal pradesh,2002,11,15,9,9,3,5,74,0,36,1,84.59,18.355,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,chhattisgarh,2003,95,55,49,49,12,0,480,18,165,3,70.78,8.265,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,himachal pradesh,2003,8,5,13,13,11,1,59,0,20,2,84.59,18.355,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,chhattisgarh,2004,83,53,61,61,21,0,288,9,179,8,70.78,8.265,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,himachal pradesh,2004,9,11,10,10,5,3,66,0,28,0,84.59,18.355,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,chhattisgarh,2005,94,54,77,77,36,0,368,18,154,19,70.78,8.265,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,himachal pradesh,2005,13,7,8,8,6,3,58,0,30,0,84.59,18.355,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,chhattisgarh,2006,95,62,68,68,27,0,1301,23,192,13,70.78,8.265,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,himachal pradesh,2006,6,9,11,11,2,2,46,0,27,3,84.59,18.355,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,chhattisgarh,2007,93,43,61,61,22,0,1421,26,179,8,70.78,8.265,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,himachal pradesh,2007,1,4,6,6,9,2,57,0,33,1,84.59,18.355,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,chhattisgarh,2008,112,48,71,71,25,8,1741,19,171,4,70.78,8.265,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,himachal pradesh,2008,5,2,10,10,7,0,36,2,28,5,84.59,18.355,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,chhattisgarh,2009,96,52,59,59,32,13,1741,30,175,17,70.78,8.265,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,himachal pradesh,2009,8,6,14,14,5,1,45,1,28,4,84.59,18.355,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,chhattisgarh,2010,106,49,69,69,26,12,1923,20,167,18,70.78,8.265,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,himachal pradesh,2010,9,10,15,15,6,2,46,0,37,6,84.59,18.355,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,chhattisgarh,2011,112,43,70,70,16,8,1874,17,146,4,70.78,8.265,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,himachal pradesh,2011,8,2,8,8,3,0,56,0,18,9,84.59,18.355,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,chhattisgarh,2012,74,42,47,47,28,5,1612,10,169,11,70.78,8.265,22.15,82.0167
bilaspur,Urban,25129.0,13111.0,12018.0,17.53,1433.0,himachal pradesh,2012,8,8,12,12,5,2,36,0,21,12,84.59,18.355,22.15,82.0167
shimla,Total,814010.0,425039.0,388971.0,5131.0,159.0,himachal pradesh,2001,14,13,18,18,11,2,89,2,50,1,83.64,18.355,31.1033,77.1722
shimla,Total,814010.0,425039.0,388971.0,5131.0,159.0,himachal pradesh,2002,15,10,27,27,18,4,78,0,49,0,83.64,18.355,31.1033,77.1722
shimla,Total,814010.0,425039.0,388971.0,5131.0,159.0,himachal pradesh,2003,18,15,21,21,16,5,79,2,40,8,83.64,18.355,31.1033,77.1722
shimla,Total,814010.0,425039.0,388971.0,5131.0,159.0,himachal pradesh,2004,10,10,34,34,14,2,84,1,43,6,83.64,18.355,31.1033,77.1722
shimla,Total,814010.0,425039.0,388971.0,5131.0,159.0,himachal pradesh,2005,15,6,32,32,10,4,78,0,51,7,83.64,18.355,31.1033,77.1722
shimla,Total,814010.0,425039.0,388971.0,5131.0,159.0,himachal pradesh,2006,16,13,34,34,26,2,74,0,39,0,83.64,18.355,31.1033,77.1722
shimla,Total,814010.0,425039.0,388971.0,5131.0,159.0,himachal pradesh,2007,15,15,27,27,26,2,64,1,46,0,83.64,18.355,31.1033,77.1722
shimla,Total,814010.0,425039.0,388971.0,5131.0,159.0,himachal pradesh,2008,15,10,22,22,19,1,54,0,31,0,83.64,18.355,31.1033,77.1722
shimla,Total,814010.0,425039.0,388971.0,5131.0,159.0,himachal pradesh,2009,18,12,28,28,22,6,55,0,32,5,83.64,18.355,31.1033,77.1722
shimla,Total,814010.0,425039.0,388971.0,5131.0,159.0,himachal pradesh,2010,20,6,21,21,22,1,47,0,27,4,83.64,18.355,31.1033,77.1722
shimla,Total,814010.0,425039.0,388971.0,5131.0,159.0,himachal pradesh,2011,20,10,22,22,24,0,47,0,45,5,83.64,18.355,31.1033,77.1722
shimla,Total,814010.0,425039.0,388971.0,5131.0,159.0,himachal pradesh,2012,18,6,23,23,25,4,49,0,28,7,83.64,18.355,31.1033,77.1722
shimla,Rural,612659.0,314295.0,298364.0,5075.57,121.0,himachal pradesh,2001,14,13,18,18,11,2,89,2,50,1,83.64,18.355,31.1033,77.1722
shimla,Rural,612659.0,314295.0,298364.0,5075.57,121.0,himachal pradesh,2002,15,10,27,27,18,4,78,0,49,0,83.64,18.355,31.1033,77.1722
shimla,Rural,612659.0,314295.0,298364.0,5075.57,121.0,himachal pradesh,2003,18,15,21,21,16,5,79,2,40,8,83.64,18.355,31.1033,77.1722
shimla,Rural,612659.0,314295.0,298364.0,5075.57,121.0,himachal pradesh,2004,10,10,34,34,14,2,84,1,43,6,83.64,18.355,31.1033,77.1722
shimla,Rural,612659.0,314295.0,298364.0,5075.57,121.0,himachal pradesh,2005,15,6,32,32,10,4,78,0,51,7,83.64,18.355,31.1033,77.1722
shimla,Rural,612659.0,314295.0,298364.0,5075.57,121.0,himachal pradesh,2006,16,13,34,34,26,2,74,0,39,0,83.64,18.355,31.1033,77.1722
shimla,Rural,612659.0,314295.0,298364.0,5075.57,121.0,himachal pradesh,2007,15,15,27,27,26,2,64,1,46,0,83.64,18.355,31.1033,77.1722
shimla,Rural,612659.0,314295.0,298364.0,5075.57,121.0,himachal pradesh,2008,15,10,22,22,19,1,54,0,31,0,83.64,18.355,31.1033,77.1722
shimla,Rural,612659.0,314295.0,298364.0,5075.57,121.0,himachal pradesh,2009,18,12,28,28,22,6,55,0,32,5,83.64,18.355,31.1033,77.1722
shimla,Rural,612659.0,314295.0,298364.0,5075.57,121.0,himachal pradesh,2010,20,6,21,21,22,1,47,0,27,4,83.64,18.355,31.1033,77.1722
shimla,Rural,612659.0,314295.0,298364.0,5075.57,121.0,himachal pradesh,2011,20,10,22,22,24,0,47,0,45,5,83.64,18.355,31.1033,77.1722
shimla,Rural,612659.0,314295.0,298364.0,5075.57,121.0,himachal pradesh,2012,18,6,23,23,25,4,49,0,28,7,83.64,18.355,31.1033,77.1722
shimla,Urban,201351.0,110744.0,90607.0,55.43,3633.0,himachal pradesh,2001,14,13,18,18,11,2,89,2,50,1,83.64,18.355,31.1033,77.1722
shimla,Urban,201351.0,110744.0,90607.0,55.43,3633.0,himachal pradesh,2002,15,10,27,27,18,4,78,0,49,0,83.64,18.355,31.1033,77.1722
shimla,Urban,201351.0,110744.0,90607.0,55.43,3633.0,himachal pradesh,2003,18,15,21,21,16,5,79,2,40,8,83.64,18.355,31.1033,77.1722
shimla,Urban,201351.0,110744.0,90607.0,55.43,3633.0,himachal pradesh,2004,10,10,34,34,14,2,84,1,43,6,83.64,18.355,31.1033,77.1722
shimla,Urban,201351.0,110744.0,90607.0,55.43,3633.0,himachal pradesh,2005,15,6,32,32,10,4,78,0,51,7,83.64,18.355,31.1033,77.1722
shimla,Urban,201351.0,110744.0,90607.0,55.43,3633.0,himachal pradesh,2006,16,13,34,34,26,2,74,0,39,0,83.64,18.355,31.1033,77.1722
shimla,Urban,201351.0,110744.0,90607.0,55.43,3633.0,himachal pradesh,2007,15,15,27,27,26,2,64,1,46,0,83.64,18.355,31.1033,77.1722
shimla,Urban,201351.0,110744.0,90607.0,55.43,3633.0,himachal pradesh,2008,15,10,22,22,19,1,54,0,31,0,83.64,18.355,31.1033,77.1722
shimla,Urban,201351.0,110744.0,90607.0,55.43,3633.0,himachal pradesh,2009,18,12,28,28,22,6,55,0,32,5,83.64,18.355,31.1033,77.1722
shimla,Urban,201351.0,110744.0,90607.0,55.43,3633.0,himachal pradesh,2010,20,6,21,21,22,1,47,0,27,4,83.64,18.355,31.1033,77.1722
shimla,Urban,201351.0,110744.0,90607.0,55.43,3633.0,himachal pradesh,2011,20,10,22,22,24,0,47,0,45,5,83.64,18.355,31.1033,77.1722
shimla,Urban,201351.0,110744.0,90607.0,55.43,3633.0,himachal pradesh,2012,18,6,23,23,25,4,49,0,28,7,83.64,18.355,31.1033,77.1722
rampur,Total,77542.0,40683.0,36859.0,832.16,93.0,uttar pradesh,2001,89,98,22,22,27,17,138,18,11,0,53.34,11.545,28.8154,79.025
rampur,Total,77542.0,40683.0,36859.0,832.16,93.0,uttar pradesh,2002,87,77,20,20,38,2,81,11,36,14,53.34,11.545,28.8154,79.025
rampur,Total,77542.0,40683.0,36859.0,832.16,93.0,uttar pradesh,2003,63,49,13,13,21,3,46,12,12,7,53.34,11.545,28.8154,79.025
rampur,Total,77542.0,40683.0,36859.0,832.16,93.0,uttar pradesh,2004,74,82,22,22,30,9,24,14,23,6,53.34,11.545,28.8154,79.025
rampur,Total,77542.0,40683.0,36859.0,832.16,93.0,uttar pradesh,2005,69,57,17,17,29,4,24,13,22,3,53.34,11.545,28.8154,79.025
rampur,Total,77542.0,40683.0,36859.0,832.16,93.0,uttar pradesh,2006,57,65,11,11,37,6,9,13,32,4,53.34,11.545,28.8154,79.025
rampur,Total,77542.0,40683.0,36859.0,832.16,93.0,uttar pradesh,2007,57,71,40,40,54,7,9,18,50,13,53.34,11.545,28.8154,79.025
rampur,Total,77542.0,40683.0,36859.0,832.16,93.0,uttar pradesh,2008,56,94,46,46,83,24,10,21,46,17,53.34,11.545,28.8154,79.025
rampur,Total,77542.0,40683.0,36859.0,832.16,93.0,uttar pradesh,2009,82,93,51,51,90,15,7,24,48,16,53.34,11.545,28.8154,79.025
rampur,Total,77542.0,40683.0,36859.0,832.16,93.0,uttar pradesh,2010,68,77,65,65,96,18,4,23,44,0,53.34,11.545,28.8154,79.025
rampur,Total,77542.0,40683.0,36859.0,832.16,93.0,uttar pradesh,2011,79,91,43,43,98,23,2,26,27,0,53.34,11.545,28.8154,79.025
rampur,Total,77542.0,40683.0,36859.0,832.16,93.0,uttar pradesh,2012,51,66,26,26,95,5,1,12,32,0,53.34,11.545,28.8154,79.025
rampur,Rural,67232.0,35100.0,32132.0,826.6,81.0,uttar pradesh,2001,89,98,22,22,27,17,138,18,11,0,53.34,11.545,28.8154,79.025
rampur,Rural,67232.0,35100.0,32132.0,826.6,81.0,uttar pradesh,2002,87,77,20,20,38,2,81,11,36,14,53.34,11.545,28.8154,79.025
rampur,Rural,67232.0,35100.0,32132.0,826.6,81.0,uttar pradesh,2003,63,49,13,13,21,3,46,12,12,7,53.34,11.545,28.8154,79.025
rampur,Rural,67232.0,35100.0,32132.0,826.6,81.0,uttar pradesh,2004,74,82,22,22,30,9,24,14,23,6,53.34,11.545,28.8154,79.025
rampur,Rural,67232.0,35100.0,32132.0,826.6,81.0,uttar pradesh,2005,69,57,17,17,29,4,24,13,22,3,53.34,11.545,28.8154,79.025
rampur,Rural,67232.0,35100.0,32132.0,826.6,81.0,uttar pradesh,2006,57,65,11,11,37,6,9,13,32,4,53.34,11.545,28.8154,79.025
rampur,Rural,67232.0,35100.0,32132.0,826.6,81.0,uttar pradesh,2007,57,71,40,40,54,7,9,18,50,13,53.34,11.545,28.8154,79.025
rampur,Rural,67232.0,35100.0,32132.0,826.6,81.0,uttar pradesh,2008,56,94,46,46,83,24,10,21,46,17,53.34,11.545,28.8154,79.025
rampur,Rural,67232.0,35100.0,32132.0,826.6,81.0,uttar pradesh,2009,82,93,51,51,90,15,7,24,48,16,53.34,11.545,28.8154,79.025
rampur,Rural,67232.0,35100.0,32132.0,826.6,81.0,uttar pradesh,2010,68,77,65,65,96,18,4,23,44,0,53.34,11.545,28.8154,79.025
rampur,Rural,67232.0,35100.0,32132.0,826.6,81.0,uttar pradesh,2011,79,91,43,43,98,23,2,26,27,0,53.34,11.545,28.8154,79.025
rampur,Rural,67232.0,35100.0,32132.0,826.6,81.0,uttar pradesh,2012,51,66,26,26,95,5,1,12,32,0,53.34,11.545,28.8154,79.025
rampur,Urban,10310.0,5583.0,4727.0,5.56,1854.0,uttar pradesh,2001,89,98,22,22,27,17,138,18,11,0,53.34,11.545,28.8154,79.025
rampur,Urban,10310.0,5583.0,4727.0,5.56,1854.0,uttar pradesh,2002,87,77,20,20,38,2,81,11,36,14,53.34,11.545,28.8154,79.025
